user_id,segment,reward_amount,avg_session_time,retention_30d,reward_dependency_score
1,genuine_gamer,6.65,77.43,1,15
2,reward_hunter,17.27,18.39,1,89
3,casual_user,12.87,27.03,1,58
4,casual_user,7.88,38.74,1,50
5,genuine_gamer,3.22,91.03,1,28
6,genuine_gamer,6.28,45.19,1,23
7,genuine_gamer,6.09,69.15,1,31
8,reward_hunter,17.75,4.43,0,92
9,casual_user,7.13,43.82,1,59
10,casual_user,8.43,24.65,1,64
11,genuine_gamer,2.64,111.66,0,21
12,reward_hunter,10.76,16.44,0,71
13,reward_hunter,25.42,5.97,0,86
14,genuine_gamer,3.09,103.15,1,23
15,genuine_gamer,2.24,68.09,1,34
16,genuine_gamer,7.32,44.04,0,19
17,genuine_gamer,7.31,40.21,1,25
18,casual_user,11.45,58.95,1,59
19,casual_user,13.74,20.29,1,61
20,genuine_gamer,7.95,92.31,1,24
21,casual_user,14.96,16.09,1,57
22,genuine_gamer,8.77,107.6,1,32
23,genuine_gamer,6.57,82.28,1,34
24,genuine_gamer,6.31,36.51,1,36
25,casual_user,11.92,41.1,1,40
26,reward_hunter,18.88,2.35,0,70
27,genuine_gamer,8.29,78.1,1,14
28,casual_user,10.64,58.25,1,60
29,casual_user,9.38,44.7,1,46
30,genuine_gamer,3.63,104.61,0,19
31,casual_user,10.13,54.91,1,64
32,genuine_gamer,2.31,46.4,1,25
33,genuine_gamer,8.47,80.98,0,23
34,reward_hunter,19.34,15.12,1,96
35,reward_hunter,22.55,12.12,0,80
36,reward_hunter,22.84,11.37,1,91
37,genuine_gamer,9.89,85.7,1,12
38,genuine_gamer,7.31,84.18,1,27
39,casual_user,11.64,27.9,0,43
40,casual_user,5.16,35.3,1,67
41,genuine_gamer,9.52,69.91,1,33
42,casual_user,9.29,58.08,1,41
43,genuine_gamer,7.22,49.36,1,37
44,reward_hunter,22.63,9.56,0,97
45,genuine_gamer,8.05,97.91,1,20
46,casual_user,14.27,21.02,0,61
47,genuine_gamer,2.47,78.22,1,29
48,casual_user,13.11,12.87,0,59
49,casual_user,8.25,50.24,1,48
50,genuine_gamer,6.66,60.32,1,18
51,reward_hunter,13.14,5.32,0,89
52,reward_hunter,14.09,19.51,0,70
53,reward_hunter,22.58,14.95,0,76
54,reward_hunter,22.96,4.72,0,75
55,casual_user,13.85,44.27,1,56
56,reward_hunter,17.52,11.32,1,97
57,genuine_gamer,9.01,106.47,1,14
58,genuine_gamer,7.4,85.02,1,32
59,genuine_gamer,9.4,45.58,1,20
60,genuine_gamer,3.09,105.55,1,11
61,genuine_gamer,5.12,42.7,1,33
62,genuine_gamer,6.09,85.49,1,19
63,reward_hunter,12.92,17.97,0,81
64,genuine_gamer,9.76,47.65,0,29
65,genuine_gamer,4.41,85.85,1,37
66,casual_user,10.58,47.49,0,67
67,genuine_gamer,3.65,102.8,1,23
68,reward_hunter,25.73,10.81,1,80
69,genuine_gamer,8.09,80.63,1,35
70,reward_hunter,13.3,10.73,0,71
71,reward_hunter,27.93,4.06,0,92
72,genuine_gamer,6.57,61.26,1,18
73,genuine_gamer,3.47,84.24,0,35
74,reward_hunter,26.98,18.03,0,72
75,casual_user,7.22,46.76,1,55
76,casual_user,9.86,32.55,1,45
77,reward_hunter,23.17,4.07,1,93
78,genuine_gamer,4.06,55.07,1,20
